#tax_id	genomic_nucleotide_accession.version
11318	NC_034263.1
11596	NC_038709.1
11596	NC_038710.1
11596	NC_038711.1
11636	NC_006934.1
11723	NC_001549.1
11746	NC_001494.1
11777	NC_038923.1
11807	NC_038668.1
11808	NC_043426.1
11809	NC_001502.1
11830	NC_001506.1
11840	NC_001885.3
11866	NC_043404.1
11867	NC_001866.1
11878	NC_038922.1
11884	NC_008094.1
11885	NC_001403.1
11901	NC_001414.1
11946	NC_015116.1
11976	NC_001543.1
11978	NC_001481.2
11986	NC_001265.2
11988	NC_003821.3
12022	NC_001417.2
12042	NC_004756.1
12063	NC_038319.1
12072	NC_038307.1
12136	NC_003924.1
12138	NC_003627.1
12149	NC_038866.1
12150	NC_038867.1
12157	NC_038329.1
12161	NC_001598.1
12164	NC_038865.1
12171	NC_038323.1
12175	NC_001409.1
12196	NC_003397.1
12201	NC_038562.1
12229	NC_043168.1
12235	NC_001801.1
12240	NC_043383.1
12240	NC_043384.1
12259	NC_038744.1
12328	NC_043400.1
12328	NC_043401.1
12330	NC_038751.1
12330	NC_038752.1
12330	NC_038753.1
12330	NC_038754.1
12332	NC_036597.1
12332	NC_036598.1
12332	NC_036599.1
12332	NC_036602.1
12360	NC_004615.1
12444	NC_038701.1
12451	NC_003739.1
12451	NC_003740.1
12461	NC_001434.1
12465	NC_002990.1
12465	NC_002991.1
12475	NC_001653.2
12524	NC_004284.1
12541	NC_038335.1
12585	NC_003473.1
12585	NC_003474.1
12585	NC_003476.1
12585	NC_003477.1
12585	NC_003479.1
12618	NC_001427.1
12639	NC_001344.1
12675	NC_043503.1
12675	NC_043504.1
12675	NC_043502.1
12742	NC_003781.1
12814	NC_001803.1
12881	NC_001557.1
28314	NC_001662.1
28322	NC_043363.1
28322	NC_043364.1
28322	NC_043365.1
28322	NC_043366.1
28347	NC_001749.2
28355	NC_003668.1
28355	NC_003672.1
28875	NC_011500.2
28875	NC_011501.2
28875	NC_011502.2
28875	NC_011503.2
28875	NC_011504.2
28875	NC_011505.2
28875	NC_011506.2
28875	NC_011507.2
28875	NC_011508.2
28875	NC_011509.2
28875	NC_011510.2
29257	NC_043394.1
31598	NC_038540.1
31631	NC_006213.1
31713	NC_003617.1
31713	NC_003618.1
31750	NC_003669.1
31750	NC_003670.1
31771	NC_043044.1
32603	NC_001664.4
32615	NC_038669.1
32625	NC_001633.1
33743	NC_039218.1
33745	NC_009825.1
33746	NC_009826.1
33757	NC_038306.1
33761	NC_038509.1
33773	NC_003671.1
33773	NC_003673.1
33773	NC_003674.1
35252	NC_002531.1
35258	NC_001619.1
35267	NC_038334.1
35269	NC_004107.1
35284	NC_043425.1
35285	NC_040507.1
35285	NC_040508.1
35287	NC_001632.1
35288	NC_003604.2
35290	NC_043106.1
35297	NC_003448.1
35297	NC_003449.1
35308	NC_038721.1
35313	NC_038729.1
35313	NC_038730.1
35313	NC_038731.1
35314	NC_038741.1
35314	NC_038742.1
35314	NC_038743.1
35318	NC_043689.1
35318	NC_043690.1
35318	NC_043691.1
35319	NC_039183.1
35319	NC_039184.1
35319	NC_039185.1
35350	NC_003462.2
35511	NC_043558.1
35511	NC_043559.1
35511	NC_043560.1
35514	NC_043627.1
35514	NC_043628.1
35514	NC_043629.1
35515	NC_043633.1
35515	NC_043634.1
35515	NC_043635.1
35612	NC_002551.1
36344	NC_043261.1
36344	NC_043262.1
36344	NC_043263.1
36344	NC_043264.1
36344	NC_043266.1
36344	NC_043267.1
36344	NC_043271.1
36344	NC_043273.1
36370	NC_001654.1
36427	NC_007543.1
36427	NC_007571.1
36427	NC_007572.1
36427	NC_007574.1
36427	NC_007544.1
36427	NC_007545.1
36427	NC_007546.1
36427	NC_007547.1
36427	NC_007569.1
36427	NC_007570.1
36427	NC_007573.1
36772	NC_003812.1
36772	NC_003813.1
36772	NC_003815.1
36772	NC_003816.1
36772	NC_003817.1
36772	NC_003819.1
37125	NC_038776.1
37125	NC_038777.1
37128	NC_003724.1
37128	NC_003725.1
37128	NC_003723.1
37368	NC_043367.1
37368	NC_043368.1
37368	NC_043369.1
37368	NC_043370.1
37368	NC_043371.1
37368	NC_043372.1
37368	NC_043373.1
37665	NC_002687.1
38012	NC_040606.1
38170	NC_015126.1
38170	NC_015127.1
38170	NC_015128.1
38170	NC_015129.1
38170	NC_015130.1
38170	NC_015131.1
38170	NC_015132.1
38170	NC_015133.1
38170	NC_015134.1
38170	NC_015135.1
38172	NC_043076.1
38837	NC_043110.1
39788	NC_043093.1
39803	NC_001890.1
39804	NC_028902.1
39838	NC_049346.1
39944	NC_043055.1
40050	NC_006009.1
40050	NC_006012.1
40050	NC_005996.1
40050	NC_006016.1
40050	NC_006017.1
40050	NC_006018.1
40050	NC_006019.1
40050	NC_006011.1
40050	NC_006020.1
40050	NC_006021.1
40051	NC_006007.1
40051	NC_006008.2
40051	NC_006010.1
40051	NC_006013.2
40051	NC_006014.1
40051	NC_006015.1
40051	NC_006022.1
40051	NC_006023.1
40051	NC_006024.2
40051	NC_006025.1
40053	NC_038564.1
40053	NC_038565.1
40053	NC_038566.1
40053	NC_038567.1
40053	NC_038568.1
40053	NC_038569.1
40053	NC_038570.1
40053	NC_038571.1
40053	NC_038572.1
40053	NC_038573.1
40056	NC_038584.1
40056	NC_038585.1
40056	NC_038586.1
40056	NC_038587.1
40056	NC_038588.1
40056	NC_038589.1
40056	NC_038590.1
40056	NC_038591.1
40056	NC_038592.1
40056	NC_038593.1
40057	NC_038594.1
40057	NC_038595.1
40057	NC_038596.1
40057	NC_038597.1
40057	NC_038598.1
40057	NC_038599.1
40057	NC_038600.1
40057	NC_038601.1
40057	NC_038602.1
40057	NC_038603.1
40058	NC_038604.1
40058	NC_038605.1
40058	NC_038606.1
40058	NC_038607.1
40058	NC_038608.1
40058	NC_038609.1
40058	NC_038610.1
40058	NC_038611.1
40058	NC_038612.1
40058	NC_038613.1
40062	NC_038614.1
40062	NC_038615.1
40062	NC_038616.1
40062	NC_038617.1
40062	NC_038618.1
40062	NC_038619.1
40062	NC_038620.1
40062	NC_038621.1
40062	NC_038622.1
40062	NC_038623.1
40271	NC_009823.1
40279	NC_002598.1
40282	NC_003534.1
40537	NC_004195.1
41459	NC_003797.1
41678	NC_001958.1
41856	NC_004102.1
42004	NC_004011.1
42182	NC_009827.1
42630	NC_038934.1
42630	NC_038935.1
42630	NC_038936.1
42683	NC_044937.1
42789	NC_038308.1
44024	NC_009029.2
44025	NC_043116.1
44130	NC_038312.1
44421	NC_038932.1
44421	NC_038933.1
44562	NC_000939.2
45767	NC_043636.1
45767	NC_043637.1
45767	NC_043638.1
45768	NC_043639.1
45768	NC_043640.1
45768	NC_043641.1
46019	NC_038550.1
46020	NC_043233.1
46020	NC_043234.1
46075	NC_043684.1
46075	NC_043685.1
46253	NC_003346.1
46916	NC_030792.1
47001	NC_003983.1
47223	NC_043374.1
47223	NC_043375.1
47223	NC_043376.1
47223	NC_043377.1
47223	NC_043378.1
47223	NC_043379.1
47223	NC_043380.1
47223	NC_043381.1
47416	NC_003785.2
47416	NC_003786.2
47418	NC_043410.1
47419	NC_043062.1
47465	NC_043192.1
48200	NC_043134.1
48201	NC_043133.1
48544	NC_013528.1
48876	NC_039087.1
48982	NC_038563.1
50292	NC_012783.2
51374	NC_043237.1
51374	NC_043238.1
51374	NC_043239.1
51374	NC_043240.1
51374	NC_043241.1
51617	NC_038326.1
52412	NC_038868.1
54290	NC_001710.1
55074	NC_038864.1
55510	NC_007021.1
55808	NC_038757.1
55808	NC_038758.1
55987	NC_006499.1
55987	NC_006500.2
55987	NC_006502.1
55987	NC_006503.1
55987	NC_006505.1
55987	NC_006501.1
55987	NC_006497.1
55987	NC_006498.1
56486	NC_003568.1
56486	NC_003569.1
56486	NC_003570.1
56820	NC_038543.1
56947	NC_008168.1
58094	NC_021924.1
58166	NC_043419.1
58177	NC_038450.1
59304	NC_043199.1
59304	NC_043403.1
59504	NC_001839.2
60875	NC_038672.1
60876	NC_038673.1
60877	NC_038675.1
60879	NC_038670.1
63746	NC_038882.1
64141	NC_004441.1
64279	NC_001834.1
64281	NC_043111.1
64282	NC_043114.1
64288	NC_039219.1
64289	NC_043112.1
64291	NC_043115.1
64298	NC_043113.1
64301	NC_043117.1
64302	NC_043118.1
64315	NC_040776.1
64461	NC_043195.1
64462	NC_043194.1
65124	NC_038370.1
66702	NC_043143.1
67603	NC_027705.1
67604	NC_043043.1
70134	NC_043171.1
70796	NC_003990.1
70821	NC_038330.1
70824	NC_043091.1
72750	NC_005209.2
72750	NC_005210.2
73147	NC_038653.1
73147	NC_038654.1
73147	NC_038655.1
73147	NC_038656.1
73561	NC_006314.1
73561	NC_006315.1
73561	NC_006316.1
73840	NC_043140.1
74581	NC_038545.1
75320	NC_005083.2
76052	NC_038288.1
76052	NC_038289.1
76052	NC_038290.1
76875	NC_003003.1
76875	NC_003004.1
78541	NC_002214.1
79891	NC_043056.1
80935	NC_043618.1
80935	NC_043619.1
80935	NC_043620.1
80938	NC_038941.1
80938	NC_038942.1
80938	NC_038943.1
80939	NC_038738.1
80939	NC_038739.1
80939	NC_038740.1
80940	NC_043630.1
80940	NC_043631.1
80940	NC_043632.1
80942	NC_043579.1
80942	NC_043580.1
80942	NC_043581.1
81931	NC_004123.1
81931	NC_004124.1
82676	NC_003348.1
82791	NC_043417.1
82847	NC_043141.1
83440	NC_043052.1
83442	NC_043235.1
83442	NC_043236.1
83810	NC_043231.1
83810	NC_043232.1
84589	NC_003930.1
85106	NC_002077.1
85154	NC_004303.1
85708	NC_005148.1
89463	NC_002066.1
89471	NC_008307.1
89471	NC_008300.1
89471	NC_008306.1
91740	NC_038264.1
91741	NC_038265.1
91913	NC_043392.1
95340	NC_029646.1
96029	NC_043505.1
96029	NC_048215.1
96892	NC_039079.1
96892	NC_039080.1
96892	NC_039081.1
97195	NC_038553.1
100220	NC_038507.1
101281	NC_043167.1
103722	NC_003347.1
104389	NC_043146.1
104390	NC_043158.1
104392	NC_043162.1
104393	NC_043163.1
104395	NC_038919.1
104637	NC_039088.1
104664	NC_003093.1
106332	NC_043058.1
108098	NC_011203.1
108098	NC_011202.1
109981	NC_043464.1
109981	NC_043465.1
109981	NC_043458.1
109981	NC_043459.1
109981	NC_043460.1
109981	NC_043461.1
109981	NC_043462.1
109981	NC_043463.1
109981	NC_043454.1
109981	NC_043455.1
109981	NC_043456.1
109981	NC_043457.1
111427	NC_043147.1
114891	NC_043145.1
114892	NC_043148.1
114923	NC_043142.1
115813	NC_038372.1
116056	NC_003649.1
116056	NC_003650.1
116056	NC_003651.1
116759	NC_043336.1
116759	NC_043341.1
116759	NC_043343.1
116759	NC_043353.1
116759	NC_043355.1
116759	NC_043360.1
119755	NC_038542.1
119756	NC_038541.1
120686	NC_039089.1
121429	NC_038863.1
122928	NC_001959.2
122928	NC_044853.1
122928	NC_044854.1
122928	NC_044856.1
122929	NC_039477.1
122929	NC_040876.1
122929	NC_044932.1
127511	NC_005949.1
128708	NC_007914.1
128975	NC_010391.1
129141	NC_003877.1
129395	NC_002604.1
129861	NC_010392.1
129862	NC_010393.1
129875	NC_001460.1
129951	NC_001405.1
129956	NC_000942.1
130308	NC_003266.2
130309	NC_001454.1
130310	NC_010956.1
130499	NC_002685.2
134374	NC_043085.1
134394	NC_043520.1
134599	NC_002555.1
134599	NC_002556.1
135102	NC_043059.1
135246	NC_043198.1
135246	NC_043402.1
135656	NC_043064.1
136138	NC_043206.1
136234	NC_043105.1
136418	NC_043411.1
137511	NC_048892.1
138948	NC_001612.1
138949	NC_001472.1
138950	NC_002058.3
138951	NC_001430.1
146015	NC_020474.2
147306	NC_043090.1
147711	NC_001617.1
148363	NC_002654.2
150058	NC_043576.1
150058	NC_043577.1
150058	NC_043578.1
150098	NC_043214.1
150098	NC_043215.1
152177	NC_009608.1
152177	NC_009609.1
152636	NC_043389.1
154334	NC_003401.1
157271	NC_043104.1
157898	NC_004087.1
158684	NC_043216.1
158684	NC_043217.1
159138	NC_043552.1
159138	NC_043553.1
159138	NC_043554.1
159140	NC_043597.1
159140	NC_043598.1
159140	NC_043599.1
159144	NC_043594.1
159144	NC_043595.1
159144	NC_043596.1
159145	NC_043588.1
159145	NC_043589.1
159145	NC_043590.1
159147	NC_043591.1
159147	NC_043592.1
159147	NC_043593.1
159148	NC_043697.1
159148	NC_043698.1
159148	NC_043699.1
159151	NC_043549.1
159151	NC_043550.1
159151	NC_043551.1
159152	NC_043555.1
159152	NC_043556.1
159152	NC_043557.1
159602	NC_038859.1
159603	NC_038860.1
159604	NC_038937.1
163325	NC_008301.1
163325	NC_008302.1
163325	NC_008303.1
166921	NC_013953.1
167478	NC_038327.1
169102	NC_043221.1
169102	NC_043222.1
169173	NC_038373.1
169173	NC_038374.1
169683	NC_004629.1
169684	NC_052650.1
170618	NC_038277.1
171618	NC_003291.2
172297	NC_037053.1
172314	NC_003976.2
172862	NC_038332.1
174142	NC_005132.1
176106	NC_003214.2
176652	NC_003038.1
178599	NC_038920.1
180170	NC_003494.1
181082	NC_007346.1
181604	NC_003327.2
185017	NC_043165.1
185692	NC_043089.1
185782	NC_005166.1
185782	NC_005167.1
185782	NC_005168.1
185782	NC_005169.1
185782	NC_005170.1
185782	NC_005171.1
185782	NC_005172.1
185782	NC_005173.1
185782	NC_005174.1
185782	NC_005175.1
185782	NC_005176.1
186187	NC_043151.1
186538	NC_002549.1
186539	NC_004161.1
186540	NC_006432.1
186541	NC_014372.1
186642	NC_043154.1
186643	NC_043155.1
186815	NC_043393.1
187984	NC_035188.1
190061	NC_001720.1
190063	NC_015323.1
190064	NC_000899.1
190065	NC_014969.1
190503	NC_043177.1
193120	NC_003853.1
194701	NC_010463.1
194949	NC_004914.3
194966	NC_004831.2
196400	NC_001948.1
196691	NC_038890.1
198068	NC_038508.1
198538	NC_004584.1
198539	NC_004585.1
198540	NC_004586.1
198541	NC_004587.1
198542	NC_004588.1
198543	NC_004589.1
199362	NC_043131.1
199587	NC_004071.1
200404	NC_038275.1
201490	NC_038574.1
201490	NC_038575.1
201490	NC_038576.1
201490	NC_038577.1
201490	NC_038578.1
201490	NC_038579.1
201490	NC_038580.1
201490	NC_038581.1
201490	NC_038582.1
201490	NC_038583.1
202910	NC_043054.1
203820	NC_043053.1
204073	NC_043132.1
204269	NC_014523.1
204269	NC_014522.1
204269	NC_014525.1
204269	NC_014526.1
204269	NC_014527.1
204269	NC_014528.1
204269	NC_014531.1
204269	NC_014530.1
204269	NC_014529.1
204269	NC_014524.1
204711	NC_001366.1
205874	NC_004684.1
205895	NC_003016.1
205895	NC_003017.1
205895	NC_003018.1
205895	NC_003019.1
205895	NC_003020.1
205895	NC_003021.1
205895	NC_003022.1
205895	NC_003023.1
205895	NC_003024.1
205895	NC_003025.1
205899	NC_010661.1
205899	NC_010662.1
205899	NC_010663.1
205899	NC_010664.1
205899	NC_010665.1
205899	NC_010666.1
205899	NC_010667.1
205899	NC_010668.1
205899	NC_010669.1
205899	NC_010670.1
205908	NC_003006.1
205908	NC_003007.1
205908	NC_003008.1
205908	NC_003009.1
205908	NC_003010.1
205908	NC_003011.1
205908	NC_003012.1
205908	NC_003013.1
205908	NC_003014.1
205908	NC_003015.1
206392	NC_043149.1
208086	NC_020073.2
208491	NC_004800.1
211044	NC_002016.1
211044	NC_002017.1
211044	NC_002018.1
211044	NC_002019.1
211044	NC_002020.1
211044	NC_002021.1
211044	NC_002022.1
211044	NC_002023.1
212035	NC_014649.1
213034	NC_007415.1
213236	NC_005259.1
213774	NC_049349.1
213777	NC_049348.1
213782	NC_049347.1
218282	NC_043144.1
219174	NC_039241.1
219702	NC_043390.1
219702	NC_043391.1
221703	NC_039085.1
222445	NC_038790.1
222445	NC_038791.1
222460	NC_038444.1
223260	NC_038445.1
223265	NC_038877.1
223276	NC_043418.1
223287	NC_004608.1
223287	NC_004609.1
223301	NC_004096.1
223301	NC_004101.1
223318	NC_038460.1
223323	NC_007338.1
225725	NC_004820.1
225726	NC_004821.1
225752	NC_004640.1
225979	NC_004740.1
226584	NC_043063.1
226613	NC_023813.1
226613	NC_023814.1
226613	NC_023815.1
226613	NC_023816.1
226613	NC_023819.1
226613	NC_023821.1
226613	NC_023822.1
227137	NC_004673.1
227984	NC_004718.3
228578	NC_004422.1
230604	NC_043197.1
230604	NC_043492.1
230604	NC_043493.1
230604	NC_043494.1
230604	NC_043495.1
230604	NC_043496.1
230604	NC_043497.1
230604	NC_043498.1
231992	NC_043242.1
231992	NC_043243.1
231992	NC_043244.1
231992	NC_043245.1
231992	NC_043252.1
231992	NC_043246.1
231992	NC_043247.1
231992	NC_043248.1
231992	NC_043249.1
231992	NC_043250.1
231992	NC_043251.1
231992	NC_043253.1
231992	NC_043254.1
231992	NC_043255.1
231992	NC_043256.1
231992	NC_043257.1
235266	NC_005830.1
236807	NC_038748.1
236807	NC_038749.1
236807	NC_038750.1
239239	NC_038285.1
240594	NC_043193.1
241525	NC_038322.1
241651	NC_043420.1
244050	NC_043424.1
251749	NC_021312.1
253454	NC_038658.1
253454	NC_038659.1
253454	NC_038660.1
253454	NC_038661.1
253454	NC_038662.1
253454	NC_038663.1
253454	NC_038664.1
253454	NC_038665.1
253454	NC_038666.1
253454	NC_038667.1
254252	NC_042024.1
254253	NC_049809.1
254397	NC_049943.1
254711	NC_038690.1
255255	NC_038324.1
255520	NC_038927.1
255521	NC_038693.1
256591	NC_043152.1
257816	NC_043287.1
257816	NC_043289.1
257816	NC_043290.1
257816	NC_043291.1
257816	NC_043292.1
257816	NC_043293.1
257816	NC_043295.1
257816	NC_043296.1
257816	NC_043297.1
257816	NC_043299.1
258471	NC_043157.1
260374	NC_043135.1
260375	NC_043137.1
261939	NC_005881.2
262588	NC_038808.1
262588	NC_038809.1
262588	NC_038810.1
262588	NC_038815.1
262588	NC_038816.1
262897	NC_029647.1
262897	NC_044855.1
262897	NC_045762.1
262968	NC_006549.1
265294	NC_005832.1
265877	NC_038420.1
269095	NC_043119.1
270117	NC_005319.1
270161	NC_005872.1
270255	NC_038692.1
270256	NC_023339.1
270257	NC_038691.1
271108	NC_001962.1
271479	NC_005844.1
272636	NC_040671.1
273341	NC_043585.1
273341	NC_043586.1
273341	NC_043587.1
273345	NC_043615.1
273345	NC_043616.1
273345	NC_043617.1
273347	NC_043546.1
273347	NC_043547.1
273347	NC_043548.1
273349	NC_043653.1
273349	NC_043654.1
273349	NC_043655.1
273350	NC_039186.1
273350	NC_039187.1
273350	NC_039188.1
273354	NC_043570.1
273354	NC_043571.1
273354	NC_043572.1
273355	NC_043566.1
273355	NC_043565.1
273355	NC_043564.1
273356	NC_043567.1
273356	NC_043568.1
273356	NC_043569.1
273358	NC_043650.1
273358	NC_043651.1
273358	NC_043652.1
273360	NC_043645.1
273360	NC_043646.1
273360	NC_043647.1
273810	NC_043180.1
273810	NC_043181.1
273810	NC_043182.1
273810	NC_043183.1
273810	NC_043184.1
273810	NC_043185.1
273810	NC_043186.1
273810	NC_043187.1
273810	NC_043188.1
273810	NC_043189.1
273810	NC_043190.1
273810	NC_043191.1
277944	NC_005831.2
280701	NC_006552.1
282712	NC_038984.1
290031	NC_043164.1
291286	NC_031339.1
291612	NC_043061.1
292477	NC_008284.1
292477	NC_008283.1
292792	NC_006564.1
296190	NC_038806.1
296190	NC_038807.1
300186	NC_009884.1
300188	NC_048214.1
305674	NC_006966.1
305785	NC_011543.1
306323	NC_007019.1
307671	NC_043086.1
307677	NC_006946.1
307997	NC_043166.1
309542	NC_036607.1
309542	NC_036608.1
309542	NC_036609.1
310907	NC_003988.1
311179	NC_038266.1
312998	NC_043088.1
318558	NC_007020.1
318595	NC_007451.1
318844	NC_020804.1
320884	NC_043042.1
321302	NC_038869.1
321302	NC_038870.1
323118	NC_008558.1
324685	NC_007220.1
325676	NC_015874.1
328614	NC_044938.1
329048	NC_043169.1
329164	NC_009759.1
329853	NC_001426.1
329862	NC_043213.1
330395	NC_007610.1
332097	NC_038674.1
333341	NC_043060.1
333767	NC_001694.1
335404	NC_038879.1
337042	NC_001357.1
337043	NC_001352.1
338079	NC_010820.1
338101	NC_007818.1
338102	NC_007819.1
338103	NC_007820.1
338105	NC_007822.1
338106	NC_007823.1
338107	NC_007824.1
338108	NC_007825.1
338110	NC_007827.1
338781	NC_008171.1
338781	NC_008172.1
338781	NC_008173.1
338781	NC_008174.1
338781	NC_008175.1
338781	NC_008176.1
338781	NC_008177.1
338781	NC_008178.1
338781	NC_008179.1
338781	NC_008180.1
338781	NC_008181.1
340017	NC_029645.1
340196	NC_043387.1
340196	NC_043388.1
341035	NC_038473.1
341110	NC_043159.1
341111	NC_043160.1
341112	NC_043161.1
341721	NC_007666.1
341721	NC_007667.1
341721	NC_007668.1
341721	NC_007669.1
341721	NC_007670.1
341721	NC_007671.1
341721	NC_007672.1
341721	NC_007673.1
341721	NC_007674.1
345030	NC_043210.1
345184	NC_038792.1
345184	NC_038793.1
345198	NC_023615.1
345201	NC_008187.1
345585	NC_023611.1
347325	NC_007806.1
347330	NC_042060.1
347482	NC_038917.1
347482	NC_038918.1
348894	NC_038862.1
352209	NC_043130.1
352889	NC_042307.1
353765	NC_038858.1
353768	NC_043196.1
354260	NC_004746.1
356114	NC_009824.1
358008	NC_043396.1
358008	NC_043397.1
358764	NC_003679.1
358769	NC_038912.1
360397	NC_008297.1
361697	NC_038439.1
362830	NC_013797.1
365150	NC_010434.1
365327	NC_043057.1
368620	NC_028271.1
369643	NC_037095.1
369643	NC_037096.1
369762	NC_043422.1
370833	NC_009013.1
370833	NC_009032.1
373058	NC_003826.1
373373	NC_038774.1
373373	NC_038775.1
373410	NC_008198.1
373861	NC_043406.1
373996	NC_043129.1
374422	NC_018853.1
376612	NC_038798.1
376612	NC_038799.1
376820	NC_008201.1
380253	NC_043092.1
382962	NC_038930.1
387907	NC_008583.1
389484	NC_043094.1
390157	NC_011349.1
390444	NC_038451.1
390849	NC_043173.1
391228	NC_010417.1
391912	NC_038510.1
393034	NC_008237.1
393598	NC_009542.2
393603	NC_043078.1
399394	NC_038778.1
399394	NC_038779.1
399394	NC_038780.1
399394	NC_038781.1
400570	NC_043178.1
404238	NC_038657.1
405554	NC_008516.1
408136	NC_038463.1
412688	NC_038881.1
417192	NC_009571.1
419782	NC_038380.1
420254	NC_038472.1
421013	NC_037051.1
424679	NC_043153.1
426788	NC_043207.1
426788	NC_043208.1
426788	NC_043209.1
429130	NC_043136.1
430059	NC_043170.1
430606	NC_039203.1
430606	NC_039204.1
430606	NC_039205.1
434898	NC_043218.1
434898	NC_043219.1
436007	NC_043138.1
436246	NC_043120.1
437061	NC_038913.1
437063	NC_010812.1
437444	NC_009452.1
437470	NC_043083.1
439421	NC_038899.1
439422	NC_038894.1
439423	NC_038888.1
439425	NC_038897.1
439426	NC_038896.1
439427	NC_038901.1
442712	NC_043431.1
442851	NC_038309.1
443876	NC_044956.1
443878	NC_044957.1
447897	NC_043530.1
449133	NC_013396.1
449133	NC_013397.1
449133	NC_013398.1
449133	NC_013399.1
449133	NC_013400.1
449133	NC_013401.1
449133	NC_013402.1
449133	NC_013403.1
449133	NC_013404.1
449133	NC_013405.1
450605	NC_043527.1
454128	NC_009731.1
454757	NC_043139.1
456390	NC_043421.1
459845	NC_010353.1
463676	NC_009996.1
469960	NC_038446.1
469960	NC_038447.1
480410	NC_038645.1
480410	NC_038646.1
480410	NC_038647.1
480410	NC_038648.1
480410	NC_038649.1
480410	NC_038650.1
480410	NC_038651.1
480410	NC_038652.1
482822	NC_042057.1
485241	NC_011530.1
487095	NC_043412.1
489779	NC_010237.1
489828	NC_007821.1
489829	NC_007856.1
490039	NC_039476.1
492502	NC_010346.1
492502	NC_010347.1
492502	NC_010348.1
493906	NC_010275.2
494652	NC_038546.1
497136	NC_038321.1
508441	NC_036579.1
508442	NC_043466.1
508442	NC_043467.1
508442	NC_043468.1
512169	NC_043512.1
516541	NC_047728.1
519350	NC_043121.1
523798	NC_043275.1
523798	NC_043276.1
523798	NC_043277.1
523798	NC_043278.1
523798	NC_043279.1
523798	NC_043280.1
523798	NC_043281.1
523798	NC_043282.1
523798	NC_043283.1
523798	NC_043284.1
523798	NC_043285.1
523798	NC_043286.1
523799	NC_043305.1
523799	NC_043306.1
529380	NC_038915.1
529380	NC_038916.1
529680	NC_038885.1
529680	NC_038886.1
530042	NC_038376.1
530042	NC_038377.1
530536	NC_038893.1
536082	NC_038457.1
536083	NC_038461.1
536085	NC_038474.1
538123	NC_013225.1
538123	NC_013226.1
538123	NC_013227.1
538123	NC_013228.1
538123	NC_013229.1
538123	NC_013230.1
538123	NC_013231.1
538123	NC_013232.1
538123	NC_013233.1
538123	NC_013234.1
538970	NC_043179.1
540069	NC_043077.1
540070	NC_039034.1
551003	NC_043156.1
551454	NC_038419.1
552554	NC_043035.1
552554	NC_043036.1
552554	NC_043037.1
552592	NC_039475.1
564878	NC_038273.1
564878	NC_038274.1
565624	NC_043423.1
566308	NC_043416.1
568090	NC_038825.1
568090	NC_038826.1
568209	NC_038520.1
569949	NC_038449.1
572288	NC_011547.1
573824	NC_038311.1
574230	NC_043301.1
574230	NC_043302.1
574230	NC_043303.1
574230	NC_043304.1
577124	NC_038875.1
586420	NC_012801.1
587314	NC_038891.1
587620	NC_011919.1
589918	NC_038823.1
589918	NC_038824.1
592207	NC_043082.1
593572	NC_043385.1
593572	NC_043386.1
596957	NC_038561.1
603003	NC_043049.1
603003	NC_043050.1
603003	NC_043051.1
607716	NC_038871.1
607716	NC_038872.1
607716	NC_038873.1
607716	NC_038874.1
611707	NC_043692.1
611707	NC_043693.1
611707	NC_043694.1
611709	NC_038722.1
619599	NC_011181.1
619599	NC_011182.1
619631	NC_008299.1
619631	NC_012118.1
